Title,Note,URL,Tags,Comment
Full City Coffee Roasters,,https://www.google.com/maps/place/Full+City+Coffee+Roasters/data=!4m2!3m1!1s0x95bcb5ef080b5ca7:0x1de05b8517b697b8,,
Ninina,,https://www.google.com/maps/place/Ninina/data=!4m2!3m1!1s0x95bcca78011fd8cb:0x11fdf2462b2e0976,,
Café Registrado,,https://www.google.com/maps/place/Caf%C3%A9+Registrado/data=!4m2!3m1!1s0x95bcb5930c1ec089:0xf91a77108fc188f8,,
Eterna Cadencia,,https://www.google.com/maps/place/Eterna+Cadencia/data=!4m2!3m1!1s0x95bcb58d950965bb:0x8337e50422a06845,,
La Maquinita Libertador (Zona Norte),,https://www.google.com/maps/place/La+Maquinita+Libertador+(Zona+Norte)/data=!4m2!3m1!1s0x95bcb7d19bed2a61:0x1c1f661fb45e3974,,
Attendant Coffee Roasters - Mayfair,,https://www.google.com/maps/place/Attendant+Coffee+Roasters+-+Mayfair/data=!4m2!3m1!1s0x487605f69f412ee5:0x98548c723cfa3fc3,,
The Monocle Café,,https://www.google.com/maps/place/The+Monocle+Caf%C3%A9/data=!4m2!3m1!1s0x48761acdb8a7228d:0x5924b62f1ab9bd03,,
Nuage Café,,https://www.google.com/maps/place/Nuage+Caf%C3%A9/data=!4m2!3m1!1s0x47e671e6e553faff:0xf0d33f4616e9ed00,,
JO&JOE Paris - Nation,,https://www.google.com/maps/place/JO%26JOE+Paris+-+Nation/data=!4m2!3m1!1s0x47e6739095bbd147:0xf7672ae1e57cb1dc,,
Nomade café • specialty coffee,,https://www.google.com/maps/place/Nomade+caf%C3%A9+%E2%80%A2+specialty+coffee/data=!4m2!3m1!1s0x47e673c30458c307:0x72ac5b17864ca5bd,,
Unicorners café coworking,,https://www.google.com/maps/place/Unicorners+caf%C3%A9+coworking/data=!4m2!3m1!1s0x47e66e1b1c59b82f:0x84bf6f8242bddc0c,,
Bibliothèque Nationale de France - Richelieu,,https://www.google.com/maps/place/Biblioth%C3%A8que+Nationale+de+France+-+Richelieu/data=!4m2!3m1!1s0x47e66e3b15cb6245:0x4ff77a2495418885,,
Bonjour Jacob Saint Germain Coffee I Magazine I Vinyl,,https://www.google.com/maps/place/Bonjour+Jacob+Saint+Germain+Coffee+I+Magazine+I+Vinyl/data=!4m2!3m1!1s0x47e671022a9bb0ad:0xcc1c2fd283bb9f65,,
River Lane Café,,https://www.google.com/maps/place/River+Lane+Caf%C3%A9/data=!4m2!3m1!1s0x48761b84ef86bf6b:0x41977ee14ac6df00,,
Granger & Co. King's Cross,,https://www.google.com/maps/place/Granger+%26+Co.+King's+Cross/data=!4m2!3m1!1s0x48761b3c5a928411:0x1e17b348c1edd512,,
Jimmy and the Bee,,https://www.google.com/maps/place/Jimmy+and+the+Bee/data=!4m2!3m1!1s0x48761b5a1ba515db:0x816e19d98c4973f2,,
404 Wandsworth,,https://www.google.com/maps/place/404+Wandsworth/data=!4m2!3m1!1s0x48760f006b8960ff:0xab75a45b91ba05b2,,
Café del Art,,https://www.google.com/maps/place/Caf%C3%A9+del+Art/data=!4m2!3m1!1s0xd4228791e6af87b:0x6c9cb8817c3e0ab5,,
EN BRUTO I Cursos de Cocina & Café de Especialidad,,https://www.google.com/maps/place/EN+BRUTO+I+Cursos+de+Cocina+%26+Caf%C3%A9+de+Especialidad/data=!4m2!3m1!1s0xd4229780620fe3d:0xc83658812bbb258f,,
La Casa Encendida,,https://www.google.com/maps/place/La+Casa+Encendida/data=!4m2!3m1!1s0xd42262c501652cd:0x610543bed2cd3041,,
God Cafe,,https://www.google.com/maps/place/God+Cafe/data=!4m2!3m1!1s0xd42292204054837:0x15279b0481db7f1b,,
La Central de Callao,,https://www.google.com/maps/place/La+Central+de+Callao/data=!4m2!3m1!1s0xd42286356fc3ebd:0xc0d6b83b0d4308b9,,
Federal Café,,https://www.google.com/maps/place/Federal+Caf%C3%A9/data=!4m2!3m1!1s0xd422878c5ba9b35:0xe98e9f0b672a65f1,,
Loft Specialty Coffee & Bar,,https://www.google.com/maps/place/Loft+Specialty+Coffee+%26+Bar/data=!4m2!3m1!1s0xd422930f91b5897:0x385dde16e8789362,,
Rhythm & Brews.,,https://www.google.com/maps/place/Rhythm+%26+Brews./data=!4m2!3m1!1s0x48760e6d75a9702b:0x800512943bd5546,,
The Colombian Coffee Company | SOHO,,https://www.google.com/maps/place/The+Colombian+Coffee+Company+%7C+SOHO/data=!4m2!3m1!1s0x487605cb7449c9a3:0xb42f7ffb8ac9f031,,
Starbucks Coffee,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m2!3m1!1s0x48761b2d62241d93:0x4eb9673182153068,,
Guillam Coffee House,,https://www.google.com/maps/place/Guillam+Coffee+House/data=!4m2!3m1!1s0x4876054c5d9219b9:0x7c0bb6685050ba8c,,
The Black Cab Coffee Co,,https://www.google.com/maps/place/The+Black+Cab+Coffee+Co/data=!4m2!3m1!1s0x47d8aa6dab32e4c5:0x88d97863d8209292,,
The Good Life Eatery,,https://www.google.com/maps/place/The+Good+Life+Eatery/data=!4m2!3m1!1s0x4876056ac4b887cd:0x493292e595de5acf,,
Lambeth Palace Library,,https://www.google.com/maps/place/Lambeth+Palace+Library/data=!4m2!3m1!1s0x487604c1ca33e3a1:0xa691ca4fcbdcd43,,
Pimlico Library,,https://www.google.com/maps/place/Pimlico+Library/data=!4m2!3m1!1s0x487604e69459fad1:0x2c571ce877c31f6b,,
St.George Coffee • Chelsea,,https://www.google.com/maps/place/St.George+Coffee+%E2%80%A2+Chelsea/data=!4m2!3m1!1s0x487605d06b790a69:0x3a80ef7506477897,,
